annotation_id,_iter,confirmed_task,Reasoning,Variables,Template,A1,A2
b20e1dc4-651b-46e1-8470-16250657f2a8,10,Find a cheapest SUV in Brooklyn for 1 day.,"SUV is a type of vehicle. Brooklyn is a place. 1 day is a duration. So, I need to remove them.","var1: SUV, var2: Brooklyn, var3: 1 day",Find a cheapest [var1] in [var2] for [var3].,Find a cheapest vehicle for a day,Find a cheapest SUV for a day
d63b1715-688c-4be2-b196-dde9659bc59d,11,"From Birmingham (BHX) to Paris search for packages with casinos, restaurant, fitness and a free internet from April 7th to 11th.","Birmingham (BHX) and Paris are places. April 7th to 11th is a date range. Casinos, restaurant, fitness, and free internet are specific amenities or services. So, I need to remove them.","var1: Birmingham (BHX), var2: Paris, var3: April 7th to 11th, var4: casinos, var5: restaurant, var6: fitness, var7: free internet","From [var1] to [var2] search for packages with [var4], [var5], [var6] and a [var7] from [var3].",Search for packages,From Birmingham (BHX) to Paris search for packages from April 7th to 11th
d1942a73-745f-44c5-ba30-0d0c7925f5d2,12,Find a comedy movie streaming on Netflix and add to watchlist.,"Comedy is a genre. Netflix is a product name. So, I need to remove them.","var1: comedy, var2: Netflix",Find a [var1] movie streaming on [var2] and add to watchlist.,Find a movie streaming and add to watchlist,Find a movie streaming on Netflix and add to watchlist
8e849b85-5acc-4d26-ad5e-d24ad24343df,13,Book parking spot for James SMith at Stewart Hotel in New York for 2 hours. The street address is 133 st avenue in New York. Zip code is 10001 and phone number is 888888888. The email address is buckeye.foobar@gmail.com. Employer's name is Gua AB.,James Smith is a person's name. Stewart Hotel is a specific hotel name. New York is a place. 2 hours is a duration. 133 st avenue is a street address. 10001 is a zip code. 888888888 is a phone number. buckeye.foobar@gmail.com is an email address. Gua AB is an employer's name. These are all variables that need to be removed.,"var1: James Smith, var2: Stewart Hotel, var3: New York, var4: 2 hours, var5: 133 st avenue, var6: 10001, var7: 888888888, var8: buckeye.foobar@gmail.com, var9: Gua AB",Book parking spot for [var1] at [var2] in [var3] for [var4]. The street address is [var5] in [var3]. Zip code is [var6] and phone number is [var7]. The email address is [var8]. Employer's name is [var9].,Book a parking spot,Book a parking spot at a hotel in New York for a duration
9ed8cd2a-b0f8-4ccf-9d48-1ddfba4f5e58,14,Find motorcycle parking near Radio City Music Hall.,"Motorcycle is a type of vehicle. Radio City Music Hall is a place. So, I need to remove them.","var1: Motorcycle, var2: Radio City Music Hall",Find [var1] parking near [var2],Find parking,Find parking near Radio City Music Hall
a31de393-c6e0-4175-858b-03cdc435d585,15,Browse events happening at Madison Square Garden.,"Madison Square Garden is a place. So, I need to remove it.",var1: Madison Square Garden,Browse events happening at [var1].,Browse events happening,Browse events happening at a venue
a5c1095b-bba1-4029-8b8d-fa5848702827,16,Find parking in New York City from June 5th to 9th.,"New York City is a place. June 5th to 9th is a date range. So, I need to remove them.","var1: New York City, var2: June 5th to 9th",Find parking in [var1] from [var2].,Find parking,Find parking in New York City
b910229f-6133-452c-a640-6a6ec67b668b,17,Get quote for Amtrak vacation for two adults across country while leaving from Chicago on the 22nd of April. It should include Deluxe bedroom. The passenger is named John Mark with email address of johnmark@gmail.com and phone number of 234567890.,"Amtrak is a company name. Two is a number. Across country is a general description of the trip but can be considered a variable. Chicago is a place. 22nd of April is a date. Deluxe bedroom is a specific type of accommodation. John Mark is a person's name. johnmark@gmail.com is an email address. 234567890 is a phone number. So, I need to remove them.","var1: Amtrak, var2: two, var3: across country, var4: Chicago, var5: 22nd of April, var6: Deluxe bedroom, var7: John Mark, var8: johnmark@gmail.com, var9: 234567890",Get quote for [var1] vacation for [var2] adults [var3] while leaving from [var4] on the [var5]. It should include [var6] bedroom. The passenger is named [var7] with email address of [var8] and phone number of [var9].,Get quote for a vacation for adults while leaving from a location on a date. It should include a type of bedroom. The passenger has a name with an email address and a phone number.,Get quote for a vacation for two adults while leaving from Chicago on a date. It should include a bedroom type.
f754d919-2191-464e-a407-0f3da9409081,18,See today's deals on video games and find the best deal on the lowest-priced mouse.,"Today's is a time reference. Video games is a product category. Best and lowest-priced are qualifiers that specify a type of deal, but they are not variables. Mouse is a product name. So, I need to remove the time reference and the product name.","var1: today's, var2: video games, var3: mouse",See [var1] deals on [var2] and find the best deal on the lowest-priced [var3].,See deals and find the best deal on the lowest-priced item.,See today's deals and find the best deal on the lowest-priced item.
fc21339a-5dc0-489c-b348-2fac79483f76,19,Find Metformin 1000mg tablet price and details.,"Metformin 1000mg is a specific medication and dosage. So, I need to remove it.",var1: Metformin 1000mg,Find [var1] tablet price and details.,Find tablet price and details,Find Metformin 1000mg tablet price and details
1c8b3d98-ffcf-42b9-ae0b-73d22d87bad7,20,Add a pair of diamond stud earrings to the cart.,"Diamond stud earrings is a product name. So, I need to remove it.",var1: diamond stud earrings,Add a pair of [var1] to the cart.,Add a pair of earrings to the cart.,Add a pair of diamond stud earrings to the cart.
6407babe-fe48-492a-8211-1f22a81b9ac0,21,Find men's running shoes of size 9 with lowest price and add to bag.,"Men's is a specific category. Size 9 is a specific size. Lowest price is a specific feature. So, I need to remove them.","var1: men's, var2: size 9, var3: lowest price",Find [var1] running shoes of [var2] with [var3] and add to bag.,Find running shoes and add to bag,Find running shoes of size 9 with lowest price and add to bag
5092fad7-ff8a-481e-bb0b-fe83590193ce,22,Show reviews of top critics for lowest rated Tom Hanks work,"Tom Hanks is a person's name. So, I need to remove it.",var1: Tom Hanks,Show reviews of top critics for lowest rated [var1] work,Show reviews of top critics for lowest rated work,Show reviews of top critics for lowest rated work
14b5885e-5454-465f-92bf-d8f7315c4a46,23,"Find a ticket from Abbotsford to Sheboygan on March 26, 2023.","Abbotsford and Sheboygan are places. March 26, 2023 is a date. So, I need to remove them.","var1: Abbotsford, var2: Sheboygan, var3: March 26, 2023",Find a ticket from [var1] to [var2] on [var3].,Find a ticket,"Find a ticket on March 26, 2023"
1538e37b-9c33-48b0-b10e-662e192ad53a,24,"Find bus stops in Alanson, MI","Alanson, MI is a place. So, I need to remove it.","var1: Alanson, MI",Find bus stops in [var1],Find bus stops,"Find bus stops in Alanson, MI"
21e5c264-df85-4055-a566-ecb65cdd8c63,25,Add to my basket tickets for 3 people from New York to Alfred.,"Tickets is a generic term but specifying ""for 3 people"" introduces a number variable. ""New York"" and ""Alfred"" are places, so they need to be removed.","var1: 3, var2: New York, var3: Alfred",Add to my basket tickets for [var1] people from [var2] to [var3],Add to my basket tickets,Add to my basket tickets from New York to Alfred
8e721b00-f406-449b-9885-0267b47ecfdb,26,Search for used Jaguar XFs with no black exterior color and save the search as Jaguar  to get a notification daily.,"Jaguar XF is a product name. Black is a specific color. Jaguar is a specific search term. So, I need to remove them.","var1: Jaguar XF, var2: black, var3: Jaguar",Search for used [var1]s with no [var2] exterior color and save the search as [var3] to get a notification daily.,Search for used cars with no specific exterior color and save the search to get a notification daily,Search for used cars with no black exterior color and save the search to get a notification daily
f27bb47e-3aba-439a-b98a-2cf9b0e25e9c,27,Browse Tokyo's best tea related attractions in the morning.,"Tokyo is a place. ""best"" is a subjective term that may vary from person to person. ""tea related"" is a specific category. ""morning"" is a time of day. So, I need to remove them.","var1: Tokyo, var2: best, var3: tea related, var4: morning",Browse [var1]'s [var2] [var3] attractions in the [var4].,Browse attractions,Browse tea related attractions in the morning
5a15ea92-571d-4a45-ad18-5b4eddbc70a6,28,Get the lowest priced plus size one piece active swimsuit in color black.,"The lowest priced is a specific characteristic. Plus size is a specific size. One piece is a specific style. Active swimsuit is a product type. Black is a color. So, I need to remove them.","var1: the lowest priced, var2: plus size, var3: one piece, var4: active swimsuit, var5: black",Get [var1] [var2] [var3] [var4] in color [var5].,Get a swimsuit,Get a plus size one piece swimsuit in color black
1860601a-faef-4dba-8cbb-807ea8434dca,29,Check for travel requirements when travelling from New York to Tokyo as US citizen.,"New York and Tokyo are places. US citizen specifies a nationality. So, I need to remove them.","var1: New York, var2: Tokyo, var3: US citizen",Check for travel requirements when travelling from [var1] to [var2] as [var3].,Check for travel requirements when travelling,Check for travel requirements when travelling as a US citizen
5e47dc3e-2a4a-4273-871d-dfdb33b091d5,30,Filter women's sports bras that are purple  with high support that are small size.,"Women's is a specific category. Purple is a color. High is a level of support. Small is a size. So, I need to remove them.","var1: women's, var2: purple, var3: high, var4: small",Filter [var1] sports bras that are [var2] with [var3] support that are [var4] size.,Filter sports bras,Filter sports bras with high support that are small size
1943febc-0635-4124-871c-578c4d9f5a44,31,Find the most popular guitar tab for Absolute Beginners.,"There are no specific variables such as place, date, product name, etc., that need to be removed from this task description. ""Absolute Beginners"" is likely the name of a song or a category of guitar tabs suitable for beginners, and not a variable that needs to be removed to preserve the meaning of the task.",,Find the most popular guitar tab for Absolute Beginners,Find the most popular guitar tab for Absolute Beginners,Find the most popular guitar tab for Absolute Beginners
1a35becb-e07b-4235-8cd3-fc2a29f8dd6f,32,Add the most most popular of all time tab to a playlist,"There are no specific variables such as place, date, product name, etc., that need to be removed from this task description. The task is already generic.",None,Add the most popular of all time tab to a playlist,Add the most popular of all time tab to a playlist,Add the most popular of all time tab to a playlist
904bd858-1c40-4d22-9a5b-e2974c3b5a7e,33,Find the most expensive ticket for New York Knicks game on April 9,"The most expensive is a specific attribute. New York Knicks is a team name. April 9 is a date. So, I need to remove them.","var1: the most expensive, var2: New York Knicks, var3: April 9",Find [var1] ticket for [var2] game on [var3],Find a ticket for a game,Find the most expensive ticket for a game on April 9
9b18e5e4-4873-49bf-b422-c3f5bc5d1f33,34,Book a WWE ticket for price range between $50 to $100.,"WWE is a specific event. $50 to $100 is a specific price range. So, I need to remove them.","var1: WWE, var2: $50 to $100",Book a [var1] ticket for price range between [var2].,Book a ticket,Book a ticket for price range between $50 to $100
930803d7-4032-4144-89a2-e44f3c5c9ccf,35,Buy tickets for a group at Hurricane harbor Phoenix on April 22,"Hurricane harbor Phoenix is a place. April 22 is a date. So, I need to remove them.","var1: Hurricane harbor Phoenix, var2: April 22",Buy tickets for a group at [var1] on [var2],Buy tickets for a group,Buy tickets for a group on April 22
a11022ab-f733-4295-a2f2-0da19cccc1b4,36,"Sign up for emails using the name Dick Smith and the email smith@gmail.com, select Six Flags Magic Mountain as the Park of Preference,","Name Dick Smith is a person's name. smith@gmail.com is an email address. Six Flags Magic Mountain is a place. So, I need to remove them.","var1: Dick Smith, var2: smith@gmail.com, var3: Six Flags Magic Mountain","Sign up for emails using the name [var1] and the email [var2], select [var3] as the Park of Preference",Sign up for emails and select a Park of Preference,"Sign up for emails using your name and email, select a Park of Preference"
d6dd19a2-c57e-4e4d-b7e1-8919a86f1157,37,Book the cheapest likely to sell out activity in Los Angeles on April 2,"The cheapest is a specific quality. Likely to sell out is a specific condition. Los Angeles is a place. April 2 is a date. So, I need to remove them.","var1: the cheapest, var2: likely to sell out, var3: Los Angeles, var4: April 2",Book [var1] [var2] activity in [var3] on [var4],Book an activity,Book an activity in Los Angeles on April 2
70b3ef5b-d900-44cf-9b62-9ecece97954c,38,Find climbing gear and sort the results by price high to low.,"There are no specific variables such as place, date, product name, etc., that need to be removed from this task description. The action is generic and does not contain variable information.",,Find climbing gear and sort the results by price high to low.,Find climbing gear and sort the results by price high to low.,Find climbing gear and sort the results by price high to low.
987b25a8-05af-4b18-bd5b-7e2ccba5fb1e,39,Add Western Digital internal SSD with 1TB storage and 8GB Ram DDR to the cart.,"Western Digital is a brand name. Internal SSD is a product type. 1TB is a storage capacity. 8GB Ram DDR is a product specification. So, I need to remove them.","var1: Western Digital, var2: internal SSD, var3: 1TB, var4: 8GB Ram DDR",Add [var1] [var2] with [var3] storage and [var4] to the cart.,Add the item with the specified storage and specifications to the cart.,Add internal SSD with 1TB storage and 8GB Ram DDR to the cart.
de1045f4-14ce-4de9-9aa8-601315b73b0e,40,"Get the most popular documentary tv series sorted by IMDB rating, see the details of the top result.","There are no specific variables such as place, date, product name, etc., that need to be removed from this task description. The terms ""documentary,"" ""tv series,"" and ""IMDB rating"" are categories and criteria for sorting, not variables.",,"Get the most popular [var1] tv series sorted by [var2] rating, see the details of the top result.","Get the most popular documentary tv series sorted by IMDB rating, see the details of the top result.","Get the most popular documentary tv series sorted by IMDB rating, see the details of the top result."
f2f531ff-94d5-4320-8594-7ae5d3a52af5,41,Show top 50 Movies and TV shows by Sci fi genre.,"Movies and TV shows are categories of entertainment. Sci fi is a specific genre. Top 50 is a number indicating a quantity. So, I need to remove them.","var1: 50, var2: Movies and TV shows, var3: Sci fi",Show top [var1] [var2] by [var3] genre.,Show top items by genre,Show top 50 items by Sci fi genre
39b037ac-0a11-4b05-8919-b4f9863fd0cd,42,Show review of Prometheus movie.,"The name ""Prometheus"" is a product name, specifically a movie title. So, I need to remove it.",var1: Prometheus,Show review of [var1] movie.,Show review of movie,Show review of Prometheus movie
3be7acd4-c8c4-4e0d-b2b6-f82a4e17de8c,43,Open the Resident evil 4 game guide.,"Resident evil 4 is a product name. So, I need to remove it.",var1: Resident evil 4,Open the [var1] game guide.,Open the game guide,Open the Resident evil 4 game guide
14a4e19d-d82d-45dd-b4f0-6b60ed87d085,44,Find nearest Sprouts Farmers Market and add two fruits and one sauce from the deals.,"Sprouts Farmers Market is a product name. two and one are numbers indicating quantity. So, I need to remove them.","var1: Sprouts Farmers Market, var2: two, var3: one",Find nearest [var1] and add [var2] fruits and [var3] sauce from the deals.,Find nearest market and add fruits and sauce from the deals,Find nearest Sprouts Farmers Market and add fruits and sauce from the deals
15a0ffe5-8462-4a8e-8938-91b05a40756f,45,"Add a new address to the account. The address is 2983 Marietta Street,  APT 2. Business name is Buck.","The specific address ""2983 Marietta Street, APT 2"" and the business name ""Buck"" are variables that need to be removed to generalize the task description.","var1: 2983 Marietta Street, APT 2, var2: Buck",Add a new address to the account. The address is [var1]. Business name is [var2].,Add a new address to the account.,Add a new address for the business to the account.
277bdab6-e924-45dd-ba26-d659d864d671,46,Add 2 different flavor dog treats and one dog food with lowest price to cart from Safeway.,"2 is a number specifying quantity. Different flavor is a variable attribute. One is a number specifying quantity. Lowest price is a variable attribute. Safeway is a brand/place. So, I need to remove them.","var1: 2, var2: different flavor, var3: one, var4: lowest price, var5: Safeway",Add [var1] [var2] dog treats and [var3] dog food with [var4] to cart from [var5].,Add dog treats and dog food to cart,Add dog treats and dog food with the lowest price to cart from Safeway
c82bd6d6-6f08-4f1d-aeef-351c86694bbc,47,Find the newest movies for rent  in the Redbox kiosk at any Winn Dixie in Daytona Beach.,"The term ""newest"" refers to a relative time frame but is not a specific variable like a date or time, so it can remain. ""Redbox"" is a brand name, ""Winn Dixie"" is a store name, and ""Daytona Beach"" is a place. These should be removed to generalize the task.","var1: Redbox, var2: Winn Dixie, var3: Daytona Beach",Find the newest movies for rent in the [var1] kiosk at any [var2] in [var3].,Find the newest movies for rent in a kiosk at any store,Find the newest movies for rent in a kiosk at any store in Daytona Beach
754c8c29-92b6-4af1-9594-f9d3da37b951,48,"Find a 3-star rated hostel with balcony and free cancellation option in Udipi, Karnataka for one person under 50 dollars from June 15 to 20, free wifi is compulsory.","3-star is a rating. Hostel with balcony and free cancellation option are specific features. Udipi, Karnataka is a place. One person is a number of people. 50 dollars is a price. June 15 to 20 is a date range. Free wifi is a specific amenity. So, I need to remove them.","var1: 3-star, var2: with balcony and free cancellation option, var3: Udipi, Karnataka, var4: one person, var5: 50 dollars, var6: June 15 to 20, var7: free wifi","Find a [var1] rated hostel [var2] in [var3] for [var4] under [var5] from [var6], [var7] is compulsory.","Find a rated hostel with a free cancellation option, where wifi is compulsory","Find a hostel in Udipi, Karnataka with a free cancellation option and wifi"
2bce1096-f573-4752-94a9-e139ce37eb27,49,Find the list of off-Broadway theatre shows on April 19,"Off-Broadway is a specific category of theatre shows. April 19 is a date. So, I need to remove them.","var1: off-Broadway, var2: April 19",Find the list of [var1] theatre shows on [var2],Find the list of theatre shows,Find the list of theatre shows on April 19
4d73937b-3be7-4f5f-950f-b1905244a2ac,50,Show MLB tickets for this weekend and select the next one.,"MLB is a specific sports league. This weekend is a time reference. So, I need to remove them.","var1: MLB, var2: this weekend",Show [var1] tickets for [var2] and select the next one.,Show tickets for the weekend and select the next one.,Show MLB tickets for the weekend and select the next one.
5199e802-2fce-448d-8859-3cdf57b8dada,51,Go to the list of ballet event for the next 30 days.,"The phrase ""the next 30 days"" is a time frame, but it is not a specific date or variable that needs to be removed for the simplification. The task description does not contain any specific variables such as place, date, product name, etc.",,Go to the list of ballet event for the next 30 days.,Go to the list of ballet events for the next 30 days,Go to the list of ballet events for the next 30 days
549452ab-637a-4997-bce1-5898541bb288,52,Show me all NFL tickets,"NFL is a specific sports league, so it should be removed to generalize the task.",var1: NFL,Show me all [var1] tickets,Show me all tickets,Show me all NFL tickets
55631305-2957-4343-b4f7-73aa68acba47,53,"Buy two tickets for the Boston Red Sox vs. New York Yankees game on August 18th, with a total cost of no more than $200.","Boston Red Sox and New York Yankees are team names. August 18th is a date. $200 is a price. Two is a number. So, I need to remove them.","var1: Boston Red Sox, var2: New York Yankees, var3: August 18th, var4: $200, var5: two","Buy [var5] tickets for the [var1] vs. [var2] game on [var3], with a total cost of no more than [var4].",Buy tickets for the game with a total cost of no more than a specified amount,"Buy two tickets for the game on August 18th, with a total cost of no more than $200"
13f1648c-9de8-497d-bed3-02096206dc5f,54,Add two pairs of women's Pink sweet pants in XXL size to your cart and view your cart.,"Women's and Pink describe the type of pants and their color. XXL is a size. So, I need to remove them.","var1: women's, var2: Pink, var3: XXL",Add two pairs of [var1] [var2] sweet pants in [var3] size to your cart and view your cart.,Add two pairs of pants to your cart and view your cart,Add two pairs of pants in size XXL to your cart and view your cart
1267fbd8-54c8-4f2e-8471-b13c4de332c7,55,Search for a tiny home anywhere for an adult and 2 pets to stay in from april 10 to april 12,"Tiny home is a specific type of accommodation. Anywhere is a place but it is too vague and can be considered a placeholder for any specific location. Adult is a number of people. 2 is a number of pets. April 10 and April 12 are dates. So, I need to remove them.","var1: tiny home, var2: anywhere, var3: adult, var4: 2, var5: April 10, var6: April 12",Search for a [var1] [var2] for [var3] and [var4] pets to stay in from [var5] to [var6],Search for a home to stay in,Search for a home for an adult and 2 pets to stay in
851ed4e6-51ee-47ad-a861-a28bdc61a102,56,Open the page to schedule a Model X test drive.,"Model X is a product name. So, I need to remove it.",var1: Model X,Open the page to schedule a [var1] test drive.,Open the page to schedule a test drive,Open the page to schedule a test drive
8e7b05d4-7dfb-4345-af2b-3e1dcd1c2ea2,57,Show me a map with charging stations in London.,"London is a place. So, I need to remove it.",var1: London,Show me a map with charging stations in [var1].,Show me a map with charging stations,Show me a map with charging stations in London
9cd20dc6-d2a5-4e8f-9252-549f2c51413c,58,"View inventory of Tesla Model S that are blue and new with 19"" wheels within 50 miles of zip code 60602.","Tesla Model S is a product name. Blue is a color. New is a condition. 19"" wheels is a specification. 50 miles is a distance. Zip code 60602 is a place. So, I need to remove them.","var1: Tesla Model S, var2: blue, var3: new, var4: 19"" wheels, var5: 50 miles, var6: zip code 60602",View inventory of [var1] that are [var2] and [var3] with [var4] within [var5] of [var6].,View inventory of cars that are and with wheels within miles of zip code.,View inventory of cars with wheels within 50 miles of zip code 60602.
cdbd410d-170a-426d-b6d2-60dafaffe853,59,Show me the best seller accessories for the Model X,"Model X is a product name. Best seller is a category that could be considered a variable, but it's also a common term used to describe items that are selling well, so it could be kept to maintain the meaning. Accessories is a general term and does not need to be removed.",var1: Model X,Show me the best seller accessories for [var1],Show me the best seller accessories,Show me the best seller accessories for the Model X
e12f51f6-c8c5-4a68-9586-d77927bca79c,60,Add a Tesla Shop Gift Card for April May with the email april.may@gmail.com to my cart,"Tesla Shop Gift Card is a product name. April May is a person's name. april.may@gmail.com is an email address. So, I need to remove them.","var1: Tesla Shop Gift Card, var2: April May, var3: april.may@gmail.com",Add a [var1] for [var2] with the email [var3] to my cart,Add a gift card to my cart,Add a gift card for April May to my cart
e2142cde-5bec-46ee-8d17-9b6ee52a66e8,61,Show me the inventory of the Tesla Model S within 200 miles from 10001,"Tesla Model S is a product name. 200 miles is a distance. 10001 is a postal code representing a location. So, I need to remove them.","var1: Tesla Model S, var2: 200 miles, var3: 10001",Show me the inventory of the [var1] within [var2] from [var3],Show me the inventory,Show me the inventory within 200 miles from 10001
e6bdb364-4327-44f0-a6d8-94eb00b36ca7,62,Go to the page with help in choosing a solar energy product for homes.,"There are no specific variables such as place, date, product name, etc., that need to be removed from this task description. The terms ""solar energy product"" and ""homes"" are generic categories and not specific variables.",,Go to the page with help in choosing a solar energy product for homes.,Go to the page with help in choosing a solar energy product for homes.,Go to the page with help in choosing a solar energy product for homes.
fdc94e3a-caa3-42b0-aa1b-b99f728f6292,63,"Schedule a demo drive for Model Y for Roy Adams with phone number 123-999-0000, email address RA@gmail.com and zip code 90001 in the United States.","Model Y is a product name. Roy Adams is a person's name. 123-999-0000 is a phone number. RA@gmail.com is an email address. 90001 is a zip code. The United States is a place. So, I need to remove them.","var1: Model Y, var2: Roy Adams, var3: 123-999-0000, var4: RA@gmail.com, var5: 90001, var6: the United States","Schedule a demo drive for [var1] for [var2] with phone number [var3], email address [var4] and zip code [var5] in [var6].",Schedule a demo drive,Schedule a demo drive in the United States
17fffbee-e41b-46e4-ab75-675b263ca7b7,64,Find the cheapest power supply unit with at least 600W power output.,"Power supply unit is a product type. 600W is a specification. Cheapest is a relative term that does not specify a particular product or brand, so it can remain as it is to preserve the meaning of the task.","var1:  power supply unit, var2: 600W",Find the cheapest [var1] with at least [var2] power output.,Find the cheapest power supply unit,Find the cheapest power supply unit with at least 600W power output
08a998f9-82f7-48c8-b6ba-72a58d39b457,65,"Find all Uniqlo's located in Chicago, IL.","Uniqlo is a brand name. Chicago, IL is a place. So, I need to remove them.","var1: Uniqlo, var2: Chicago, IL",Find all [var1]'s located in [var2].,Find all stores located,Find all Uniqlo's located
099a9da4-c8db-4900-ada2-76600f3655a4,66,Show me the list of baby products that are on sale and under 10 dollars.,"Baby products is a category of products. On sale is a condition. Under 10 dollars is a price range. So, I need to remove them.","var1: baby products, var2: on sale, var3: under 10 dollars",Show me the list of [var1] that are [var2] and [var3].,Show me the list of products that are on sale,Show me the list of baby products that are under 10 dollars
122178b3-b5d4-41f0-be38-150ca0e2f5ed,67,Find a black blazer for men with L size and add to wishlist.,"Black is a color. L is a size. So, I need to remove them.","var1: black, var2: L",Find a [var1] blazer for men with [var2] size and add to wishlist.,Find a blazer for men and add to wishlist,Find a blazer for men with L size and add to wishlist
3e0d115f-9da7-4211-9d99-122912890b40,68,Delete the history of what i heard recently.,"There are no specific variables such as place, date, product name, etc., to remove from this task description.",,Delete the history of what I heard recently.,Delete the history of what I heard recently.,Delete the history of what I heard recently.
48ca542f-5346-40b9-b586-9294a2f64519,69,Like a game mix album.,"There are no specific variables such as place, date, product name, etc., to remove from this task description.",,Like a game mix album.,Like a game mix album.,Like a game mix album.
